alternative_id,sub_code,raw_score
A142,S2,0.4286188356979821
A143,S2,0.2796093671014198
A144,S2,0.4293220890688352
A145,S2,0.3474583067229998
A146,S2,0.4798181151982628
A147,S2,0.342603076614806
A148,S2,0.2158671282199222
A149,S2,0.3798554645661775
A150,S2,0.4480414785595452
A151,S2,0.4105586884162078
A1,S3,0.443840421238722
A2,S3,0.3810123134396429
A3,S3,0.4492871536422247
A4,S3,0.4455432621642753
A5,S3,0.404760413321205
A6,S3,0.4102640452755186
A7,S3,0.4996312930195597
A8,S3,0.4398080545072205
A9,S3,0.2689643139664565
A10,S3,0.4460165076820236
A11,S3,0.3641154986808897
A12,S3,0.3353801049351294
A13,S3,0.4482207320057194
A14,S3,0.2015509840546477
A15,S3,0.2578141687341173
A16,S3,0.2841829523026131
A17,S3,0.2911623391025677
A18,S3,0.3958508343323753
A19,S3,0.3111648341480607
A20,S3,0.2420377772903344
A21,S3,0.4944982297841855
A22,S3,0.3955069134739989
A23,S3,0.3633179785180659
A24,S3,0.1853251828248291
A25,S3,0.4103031268291286
A26,S3,0.4487829310767007
A27,S3,0.2224647182167738
A28,S3,0.4398954847770701
A29,S3,0.30421248537201
A30,S3,0.3646546497072624
A31,S3,0.3399967303783379
A32,S3,0.5223430164845163
A33,S3,0.3408967781706257
A34,S3,0.2573779346134727
A35,S3,0.405165136420012
A36,S3,0.2373171340320641
A37,S3,0.3918215189281785
A38,S3,0.1804785100841151
A39,S3,0.2964247148495998
A40,S3,0.4607624208031231
A41,S3,0.4132287968579625
A42,S3,0.4024681381440495
A43,S3,0.3900713742430199
A44,S3,0.3732473917618671
A45,S3,0.25652213986536
A46,S3,0.350253795321032
A47,S3,0.3603075461100075
A48,S3,0.4104034579976605
A49,S3,0.4452759592212681
A50,S3,0.2691327146265338
A51,S3,0.3701751787411266
A52,S3,0.3466602910401715
A53,S3,0.3511883566507976
A54,S3,0.4192616863815616
A55,S3,0.5121879720391304
A56,S3,0.5619017922636319
A57,S3,0.2714363565807242
A58,S3,0.2891791532865782
A59,S3,0.4187979650401188
A60,S3,0.4917161034089546
A61,S3,0.3266603771979811
A62,S3,0.4271013758096859
A63,S3,0.2241306011959475
A64,S3,0.3079999816136461
A65,S3,0.4182884321469624
A66,S3,0.5685961681792775
A67,S3,0.4609143406798172
A68,S3,0.4270972169726794
A69,S3,0.3829473549881152
A70,S3,0.3617913955272606
A71,S3,0.3902363516221786
A72,S3,0.5044515667761907
A73,S3,0.3754330916391725
A74,S3,0.422344775059482
A75,S3,0.1566187126822208
A76,S3,0.415302060534631
A77,S3,0.3624214267240166
A78,S3,0.4171468227169637
A79,S3,0.3284650949864157
A80,S3,0.246938444577184
A81,S3,0.3462942295567176
A82,S3,0.3947082484246742
A83,S3,0.5370098350806144
A84,S3,0.3490676099206137
A85,S3,0.3350641222318511
A86,S3,0.3787207180628777
A87,S3,0.4392849006437247
A88,S3,0.3773644401585647
A89,S3,0.2839683691884679
A90,S3,0.3832709905324689
A91,S3,0.518163763284128
A92,S3,0.5146767603379181
A93,S3,0.2575291936349415
A94,S3,0.2902657716323269
A95,S3,0.3660468879142309
A96,S3,0.2789916602389106
A97,S3,0.4268738758627058
A98,S3,0.3877556321531943
A99,S3,0.3720840886578363
A100,S3,0.3723492593836588
A101,S3,0.2622740429509651
A102,S3,0.2420972761140708
A103,S3,0.3381709972358676
A104,S3,0.2715954198436699
A105,S3,0.3716365140709383
A106,S3,0.5455769270895746
A107,S3,0.5522762906480283
A108,S3,0.3778557004001166
A109,S3,0.4404153004096886
A110,S3,0.3927674980000565
A111,S3,0.2350274699852134
A112,S3,0.4023811111569709
A113,S3,0.4749037980523756
A114,S3,0.5333223578590978
A115,S3,0.3824551224149011
A116,S3,0.3609428259068542
A117,S3,0.3993822804301608
A118,S3,0.237790151823085
A119,S3,0.4545156098070329
A120,S3,0.4271833286049832
A121,S3,0.4876584359221279
A122,S3,0.3422419037746506
A123,S3,0.439077440178545
A124,S3,0.2620165457204416
A125,S3,0.3946649024155099
A126,S3,0.5046655515876481
A127,S3,0.2843291814199255
A128,S3,0.3158492652328553
A129,S3,0.4948729565529104
A130,S3,0.3544912371954706
A131,S3,0.1850514842565042
A132,S3,0.3576444596960139
A133,S3,0.3340287363413301
A134,S3,0.5110616889525019
A135,S3,0.2286991152736524
A136,S3,0.4228978926902164
A137,S3,0.3957001563354863
A138,S3,0.3677794706204139
A139,S3,0.4065622733246158
A140,S3,0.2979657062950574
A141,S3,0.2777979862509874
A142,S3,0.4872518891565962
A143,S3,0.2570233610747957
A144,S3,0.4344014003959159
A145,S3,0.3535048368637034
A146,S3,0.4468290434924452
A147,S3,0.2317520321135597
A148,S3,0.2778739135062651
A149,S3,0.3808525070054833
A150,S3,0.3838821747893777
A151,S3,0.3535297066634933
A1,S4,0.448325119735008
A2,S4,0.4043160989511705
A3,S4,0.4211479115523746
A4,S4,0.5069552177114753
A5,S4,0.2924445028647303
A6,S4,0.3441470464559634
A7,S4,0.5076946687357424
A8,S4,0.5597002063451931
A9,S4,0.2878256354216267
A10,S4,0.4887630194050807
A11,S4,0.3832315586097145
A12,S4,0.3508073389021545
A13,S4,0.4767627526003278
A14,S4,0.2333292057160538
A15,S4,0.2499190658739621
A16,S4,0.3276774181579687
A17,S4,0.3472827856007467
A18,S4,0.4530378914594927
A19,S4,0.2728704997188888
A20,S4,0.199300365330891
A21,S4,0.491280367906606
A22,S4,0.322333055361237
A23,S4,0.3801137633360946
A24,S4,0.3133058684188559
A25,S4,0.3109932766609791
A26,S4,0.3846904453766079
A27,S4,0.2832275625629044
A28,S4,0.4470380232402742
A29,S4,0.2257363300175131
A30,S4,0.3254962117529264
A31,S4,0.3362644107253069
A32,S4,0.5868949205379596
A33,S4,0.3540306229842343
A34,S4,0.2040074101958201
A35,S4,0.474280787685144
A36,S4,0.2461578259052808
A37,S4,0.3413095423213332
A38,S4,0.1845921670570038
A39,S4,0.2574287307980186
A40,S4,0.3666228339087868
A41,S4,0.3400807201501563
A42,S4,0.4320629144798785
A43,S4,0.4249549211369303
A44,S4,0.3813257791807775
A45,S4,0.2019082976400194
A46,S4,0.3077659674672062
A47,S4,0.3383128840540522
A48,S4,0.4930440145326749
