sheet_name,column_name,dtype_detected,n_rows,n_nonnull,n_missing,n_unique,min_value,max_value,mean_value
Alternative_Scores,S41,float64,151,151,0,151,0.05725857001292535,0.5384752158008164,0.31636949800005665
Alternative_Scores,S42,float64,151,151,0,151,0.03857641191247717,0.5307381991207986,0.2996461646231226
Alternative_Scores,S43,float64,151,151,0,151,0.02402039287788822,0.5681147753925686,0.30362135525749406
Alternative_Scores,S44,float64,151,151,0,151,0.09092362558124958,0.5269731818652929,0.3065227357660858
Alternative_Scores,S5,float64,151,151,0,151,0.1114348348421594,0.725020994357903,0.39026039458090406
Alternative_Scores,S6,float64,151,151,0,151,0.1228167817549529,0.6747397901601007,0.38142652297112106
Alternative_Scores,S7,float64,151,151,0,151,0.133137556950879,0.7193888088556767,0.39059743392742086
Alternative_Scores,S10,float64,151,151,0,151,0.1691363759632344,0.588042003679158,0.3740068215587011
Alternative_Scores,S48,float64,151,151,0,151,0.1356508438764549,0.6138323034530123,0.36543835470732217
Alternative_Scores,S53,float64,151,151,0,151,0.14452893234422,0.6459057107565948,0.3766621802728761
Alternative_Scores,S8,float64,151,151,0,151,0.1829113319299385,0.5912492175805933,0.3800190497890867
Alternative_Scores,S9,float64,151,151,0,151,0.1355169921301587,0.5978380916959454,0.37542599944849536
Alternative_Scores,S11,float64,151,151,0,151,0.09540572211620868,0.5802168106361615,0.34892927721870787
Alternative_Scores,S12,float64,151,151,0,151,0.1556599214355325,0.5835642331586335,0.35593362737577344
Alternative_Scores,S13,float64,151,151,0,151,0.1141844772831686,0.6535456878427086,0.3552672680415864
Alternative_Scores,S14,float64,151,151,0,151,0.0640898707929845,0.6061329285608856,0.3595736371065401
Alternative_Scores,S15,float64,151,151,0,151,0.1427518996537822,0.6210686479678906,0.36914874786724033
Alternative_Scores,S16,float64,151,151,0,151,0.1450413676079924,0.5861395158205123,0.36146331616638583
Alternative_Scores,S17,float64,151,151,0,151,0.01082031963701663,0.5677195964992126,0.36782334383161686
Alternative_Scores,S45,float64,151,151,0,151,0.09579288618844153,0.6288426501238538,0.36208941589622146
Alternative_Scores,S52,float64,151,151,0,151,0.1097640722518803,0.6142275099340531,0.3605168018622288
Alternative_Scores,S18,float64,151,151,0,151,0.1415500242848892,0.5806294978076766,0.37981030220018963
Alternative_Scores,S19,float64,151,151,0,151,0.2051449599564419,0.6010990310544779,0.38006746996507207
Alternative_Scores,S20,float64,151,151,0,151,0.1536191432542919,0.6811953231400665,0.3700288358611178
Alternative_Scores,S46,float64,151,151,0,151,0.09826295172854108,0.6196652501205006,0.3794199476268514
Alternative_Scores,S51,float64,151,151,0,151,0.1759436684637553,0.613334190636111,0.37650786217410215
Alternative_Scores,S21,float64,151,151,0,151,0.1259822395019398,0.6235419333823325,0.3822883083360962
Alternative_Scores,S22,float64,151,151,0,151,0.135545563508737,0.596510815523679,0.3843766317878723
Alternative_Scores,S23,float64,151,151,0,151,0.1106668315054879,0.565834520124947,0.37603695430176565
Alternative_Scores,S54,float64,151,151,0,151,0.1411164942899476,0.5821401598643148,0.38075324488906875
Alternative_Scores,S24,float64,151,151,0,151,0.06143650317975351,0.6153457461714923,0.3587173866845067
