alternative_id,entropy_score,waspas_score,promethee_score,entropy_rank,waspas_rank,promethee_rank,borda_rank,csa_score,csa_rank
A139,0.548014620117234,0.5616439269695073,-0.09209073889314923,,,,,0.4737144586996034,115
A14,0.5963180448241413,0.5812458483925274,-0.03835909297533054,,,,,0.5429307085043996,89
A140,0.6622227980031036,0.638746539773255,0.2473416747846625,,,,,0.797727659276491,12
A141,0.5919535324310342,0.5789807127906355,-0.04389933486982105,,,,,0.5359638081141871,91
A142,0.5528747713819119,0.5749517888196073,-0.07379581203159466,,,,,0.4950972395971133,106
A143,0.5685257224521505,0.5501566052319902,-0.1874099914191627,,,,,0.4125726350283648,125
A144,0.5711129262424409,0.6052443739258334,0.1075665068429156,,,,,0.6426317064491336,46
A145,0.5192553136971031,0.5080788723491385,-0.427533548781708,,,,,0.2044052338249015,150
A146,0.6076126296281747,0.5921935745319499,0.007647081797777927,,,,,0.5851181021298605,66
A147,0.5929112895856684,0.578035659128175,-0.07169435832629795,,,,,0.5169545293480341,97
A148,0.520184264477476,0.5419656969755453,-0.2290851929687486,,,,,0.3572255718756075,135
A149,0.569651445220136,0.5930307158188777,-0.001928040130942707,,,,,0.5610740864712336,79
A15,0.629885556193014,0.6360729297684891,0.2515832550415045,,,,,0.7840414858803422,15
A150,0.6206383800025015,0.6096347707619348,0.08937641954446209,,,,,0.655747878975777,43
A151,0.5736283767760824,0.5928100603615414,0.0132314470908229,,,,,0.5732008253663544,73
A16,0.6291251808395895,0.6121729202194209,0.100060904694702,,,,,0.6683106587769977,36
A17,0.5757881907180794,0.5887325089965509,0.005438142637943122,,,,,0.5668762439269494,74
A18,0.6002665278230029,0.5913047208631457,-0.001609775605651939,,,,,0.5748856228156831,72
A19,0.5888650410868528,0.5915838244523148,0.03316873190057906,,,,,0.5934085615885365,63
A2,0.6471924470651684,0.6128634719746078,0.1462726681935438,,,,,0.7087575045193725,30
A20,0.5340438644294874,0.5103327169834422,-0.3672201958033783,,,,,0.2537147552453149,148
A21,0.6356819003707321,0.6274071420398117,0.2123876770524009,,,,,0.7557034764993458,23
A22,0.6525850254135557,0.6337859535867771,0.2594117698051783,,,,,0.7989717172877779,11
A23,0.5690295699743624,0.5735625940473303,-0.08163529344503316,,,,,0.496676611889765,105
A24,0.569468985779745,0.5774333276260438,-0.04339609819133349,,,,,0.5249304172998106,94
A25,0.5897642688799244,0.5960462363585285,0.01702231069783341,,,,,0.5850083334942212,67
A26,0.6437569117398037,0.6697658551062033,0.426627109324025,,,,,0.9268806033179449,3
A27,0.5917032744261969,0.5867870749584921,0.01500098576917233,,,,,0.5799588669019773,70
A28,0.6432472106394377,0.5936162822617652,0.06250502674594671,,,,,0.6401263415231593,48
A29,0.6203225569635361,0.6303082690503283,0.2165470325737743,,,,,0.7527331385693219,24
A3,0.5541806874644353,0.5933624904482315,0.01330596555084466,,,,,0.564347095222455,75
A30,0.5467838094897598,0.5399683710534375,-0.2237730333554854,,,,,0.3724202466175562,132
A31,0.5705213313533306,0.5633253480715996,-0.1500742725093231,,,,,0.4455460177725688,119
A32,0.6163301241628057,0.6003605658740533,0.07899030300825122,,,,,0.642026640573026,47
A33,0.6133259295549248,0.5962293203924951,0.03491102986452541,,,,,0.6084427000991288,60
A34,0.5597699222561527,0.5616324863635572,-0.1501994877449968,,,,,0.4395484835634321,121
A35,0.5527513925454052,0.5356615793531698,-0.2596774538006674,,,,,0.3485697456905825,137
A36,0.5462368649666556,0.5629893620332216,-0.1249036287444123,,,,,0.4511190703324104,118
A37,0.5711577106350294,0.5903413532020834,-0.0131522530036675,,,,,0.5527837465588523,84
A38,0.5747289330751219,0.541654710930322,-0.2345594755696895,,,,,0.3790725392872296,130
A39,0.5576490300411363,0.5374860759205573,-0.2420909024397627,,,,,0.3638018673690376,134
A4,0.5559612440494934,0.5861266263356844,0.0009318632600549687,,,,,0.5531499100598266,82
A40,0.5708811756252204,0.5582737230419885,-0.1509545435432928,,,,,0.4426137524272965,120
A41,0.5221348764272179,0.5569480470121719,-0.1447936492356249,,,,,0.4231622954215268,123
A42,0.5727897770414493,0.5884556457252429,-0.009350364627297117,,,,,0.555218537947371,80
A43,0.5651167967848968,0.5158825090771666,-0.2723912620765181,,,,,0.3359269067217727,140
A44,0.5971627458962,0.5946046831298439,0.01039064625020478,,,,,0.5832546972172286,68
A45,0.4904993680912977,0.5033746899779686,-0.3793224456865742,,,,,0.2214502482953661,149
A46,0.62903898798884,0.5866720400382979,-0.009728755708467277,,,,,0.5806232255219996,69
A47,0.6082039911028813,0.5773049406574933,-0.06084196485428473,,,,,0.5312259155896369,93
A48,0.6097298604780608,0.6308559872832316,0.2318022558237125,,,,,0.7584296816538707,21
A49,0.5848535190157272,0.5860374729927842,-0.006971644696418908,,,,,0.561340353922333,78
A5,0.469382793975923,0.4837503801620996,-0.5084116928882438,,,,,0.1135584928865004,151
A50,0.5903778387206076,0.5728472494879215,-0.07395643267372787,,,,,0.5116448563530508,101
A51,0.633727682125027,0.6574577181651087,0.3408191621427498,,,,,0.8574187924505255,6
A52,0.5543674258860265,0.5724723606804825,-0.07849004826743416,,,,,0.4913665945263119,108
A53,0.6228736145949066,0.5955239933656142,0.05982469260395055,,,,,0.6296240039167891,52
A54,0.5679656924468965,0.5734805668521872,-0.07090555685868478,,,,,0.5034659922009695,102
A55,0.6187042684185871,0.608467645898803,0.1042733478062568,,,,,0.6644370498680545,37
A56,0.625352028667738,0.6235873516479813,0.1771359925149105,,,,,0.7248486934332985,27
A57,0.580296979676918,0.6025420620375896,0.04623374511072586,,,,,0.6037171745001351,62
A58,0.5762062117893672,0.5856495157203616,-0.02751549842062627,,,,,0.543028864220931,88
A59,0.5967078570479277,0.6455842587876924,0.2920760552139057,,,,,0.8007621801165972,10
A6,0.6253332267535947,0.6380190523776119,0.2473364930474134,,,,,0.7799544163437309,16
A60,0.6772852189567734,0.6866341894987069,0.4982549737784229,,,,,1.0,1
A61,0.5286992311393484,0.5442728093855228,-0.2452896099412417,,,,,0.3513129927734673,136
A62,0.6110977358131348,0.6495004673047975,0.3161974791539317,,,,,0.8259749996508866,8
A63,0.6677861914015468,0.6326174503585216,0.2113753656927717,,,,,0.7727420738468542,18
A64,0.5997040006802169,0.5742451043735302,-0.07777687223216118,,,,,0.5141275057176644,98
A65,0.5875044623150201,0.5830830888642238,-0.00618673610485336,,,,,0.5616653692942325,77
A66,0.5970914295889072,0.6033183122631407,0.06515076613357948,,,,,0.6249541356708324,54
A67,0.5757537899254552,0.6091755586540182,0.1323705409503317,,,,,0.6637174630077276,38
A68,0.6223663350574647,0.5772000729828441,-0.0223145547344511,,,,,0.5641851122753446,76
A69,0.5771760068052921,0.5841138501710397,-0.02564165699694265,,,,,0.5440068625317961,87
A7,0.6026025211904191,0.5991978768842916,0.07014885001716918,,,,,0.6289308015099219,53
A70,0.6032304009598788,0.5903952173493208,0.01412209670629924,,,,,0.5865844138616125,65
A71,0.5673908546443518,0.5652990193626821,-0.107486179186162,,,,,0.4741477854000529,114
A72,0.5984415121570599,0.5923929921531752,0.05237426211701467,,,,,0.6114525278617619,56
A73,0.5979010835009928,0.5410379908448323,-0.2186355236246895,,,,,0.4005845706708039,128
A74,0.6293710708323816,0.6032879690199853,0.08468237655636851,,,,,0.6535198574358929,45
A75,0.574983558759937,0.5558775794088289,-0.1292470703569928,,,,,0.4581973326534935,117
A76,0.6397286822503595,0.6360420248119059,0.2275628861204061,,,,,0.7722574326606397,19
A77,0.5766271819158402,0.5832889493503338,-0.02421035777021738,,,,,0.5443175889816337,85
A78,0.5190620242938767,0.5305859254947152,-0.3018480256225726,,,,,0.3013411122669439,144
A79,0.5496776949867095,0.550830553541686,-0.1812894934231442,,,,,0.4081935252550797,127
